Origin/Destination,Munich,Stuttgart,Berlin,Frankfurt+am+Main,Hannover,Cologne,Potsdam,Bremen,Hamburg,Leipzig,Rostock,Saarbrucken,Halle+(Saale),Kiel,Erfurt,Mainz,Dusseldorf,Dortmund,Essen,Dresden,Nurnberg,Duisburg,Bochum,Wuppertal,Bielefeld,Bonn,Munster,Karlsruhe,Mannheim,Augsburg,Wiesbaden,Gelsenkirchen,Monchengladbach,Braunschweig,Chemnitz,Aachen,Magdeburg,Freiburg im Breisgau,Krefeld,Lubeck,Oberhausen,Kassel,Hagen,Hamm,Mulheim an der Ruhr,Ludwigshafen am Rhein,Oldenburg,Leverkusen,Osnabruck,Solingen,Heidelberg,Herne,Neuss,Darmstadt,Paderborn,Regensburg,Ingolstadt,Wurzburg,Furth,Wolfsburg,Offenbach am Main,Ulm,Heilbronn,Pforzheim,Gottingen,Bottrop,Trier,Recklinghausen,Reutlingen,Bremerhaven,Koblenz,Bergisch Gladbach,Jena,Remscheid,Erlangen,Moers,Siegen,Hildesheim,Salzgitter
Bonn,557334,351062,595639,173032,314529,34047,565596,338006,448123,497531,621314,235518,478660,532573,363517,169709,76875,116463,93911,567824,388847,95662,105403,77207,216337,0,171311,283335,219229,504989,147990,115419,88171,376659,500070,96507,457807,415297,93764,507481,99497,264819,99116,145198,86499,220632,326451,60270,223967,58807,234355,110743,73100,182225,205954,488910,482093,283936,382361,398325,179990,435424,297348,305124,315290,107353,164074,120100,379232,401293,61560,39652,405533,68269,377521,108445,114993,354428,389196
Munster,666873,475144,470940,276193,189830,155429,440897,171497,281613,456252,454805,410011,414774,366064,386580,305157,131230,68325,96810,555030,498386,107632,75554,103056,134367,176426,0,407417,353752,636219,300812,79302,157920,251960,523134,214582,333108,539379,133500,340971,94931,200933,80650,51177,105856,355690,159941,131021,57458,119206,358545,70249,136641,305240,142069,598449,591632,387942,491900,273627,282374,582702,421430,429206,251405,77576,338566,62989,503314,234784,254060,135163,428596,111321,481192,111822,157259,229729,264497
Karlsruhe,297100,74419,673087,138718,481636,301021,643044,573412,624698,518150,797889,144512,511049,720093,389301,141676,342776,351551,359812,549870,251258,361563,369738,343108,445929,287038,406716,0,68209,228346,147435,381320,345343,467403,474859,353906,555976,135635,367081,684056,365399,325038,336626,380604,352401,70147,561856,326172,459373,324708,52948,376644,346418,108055,398967,337330,319138,188039,255890,496188,144830,158781,90691,28481,363301,373255,211053,386001,102589,655224,210422,305553,431317,334170,268918,377885,263281,450485,450874
Mannheim,356779,134097,624107,84572,427490,246875,594064,519266,570552,469169,743743,134419,456903,665947,335155,85898,286008,297405,305666,539462,240950,307417,315592,288962,391783,217669,352570,66370,0,288024,93289,327174,282019,413257,471709,290582,501830,198332,302432,629910,311252,270892,282480,326458,298255,2552,507710,272026,405227,270562,19134,322498,281768,57817,344821,327023,308831,177732,245583,442042,90684,218460,80383,88160,309155,319109,181305,331855,162267,601078,147098,251407,377171,280024,258611,317113,209135,396339,396728
Augsburg,79381,163869,588448,362280,601877,522076,558405,721060,744938,433511,782429,371783,442978,840334,428444,362731,563831,574085,580867,465231,148491,582618,592272,564163,566170,508094,634830,228290,289264,0,368490,602375,566398,587643,390220,574961,525891,354663,588136,804296,586454,445278,559160,582720,573456,291202,763812,547227,614319,545764,274003,593141,567473,329110,519208,147144,84065,245241,153124,604238,354329,83236,221375,201109,483541,594310,438323,602498,182157,775465,431477,526608,375235,555225,193440,598940,485815,570726,571114
Wiesbaden,423663,215015,571911,39120,375295,165117,541868,467070,518356,416974,691547,158394,404707,613752,282960,16672,206873,245209,223908,487267,255177,225659,235400,207204,339588,151135,300375,147289,93624,368942,0,245416,229178,361061,419513,237514,449635,279250,231178,577714,229495,218696,230285,274262,216497,95562,455515,190268,353031,188805,98308,240741,210514,46179,292626,355239,348422,150265,248690,389846,46320,299378,161301,169078,256959,237351,152510,250097,243185,548883,102064,169650,324976,198266,243850,241982,156940,344143,344532
Gelsenkirchen,637063,448444,516442,251916,235332,98403,486399,245370,355486,448707,528678,347558,407229,439937,379035,259562,56244,35011,15163,547484,468577,32947,18356,52163,137141,119400,78998,380718,327053,606143,245373,0,83235,297463,515588,148764,378610,512680,58667,414844,16565,193388,57222,66002,24209,328991,233815,80535,131331,68312,331738,13051,61956,279608,134524,568639,561822,363665,462090,319129,258097,532807,394731,402507,243859,14741,276113,20322,476614,308657,197034,84677,421051,60835,457250,36989,132982,275232,310000
Monchengladbach,639415,412900,593696,255114,312586,63434,563653,319641,429758,518195,602949,299340,476717,514209,438086,233531,32934,97091,61752,616972,470929,54078,77562,69385,214395,87416,153270,345174,283051,566827,230072,83507,0,374716,574640,65140,455864,477136,24553,489116,67586,262876,97174,143256,54342,284454,308086,84894,205602,67800,316437,80414,28649,264307,204012,570992,564175,366018,464443,396383,262072,497263,359187,366963,313348,75442,227896,100219,441070,382928,148712,76766,480102,78991,459603,48705,163274,352485,387253
Braunschweig,606949,502706,234518,340538,67561,360674,204475,175504,199382,211499,288707,518560,170916,294778,214892,369502,342857,273570,312488,315441,462113,329955,298192,308302,170174,381671,253142,471762,418097,592863,365157,298381,380243,0,302505,419827,96686,603724,355823,258740,311720,158272,285896,244692,321535,420035,218256,336266,199905,324451,422890,289537,343892,369585,209144,520363,531708,356325,448544,37205,346719,539346,462679,493551,113602,305315,513962,290066,545459,229909,395358,340409,269668,316566,437836,334146,362504,58303,24997
Chemnitz,387300,434459,263238,396784,354181,515297,249518,462125,486003,84644,473541,574806,133749,581399,152193,425748,554944,485314,519703,79598,242463,541272,505407,520388,454863,504337,523523,475490,474343,389897,421403,518170,585065,303302,0,593401,216663,607452,555118,522962,531508,333971,497982,471413,528750,476281,504877,548353,486526,536538,450695,506026,555979,425831,407901,272201,312059,294515,256491,295009,402965,419799,394206,464666,290356,531509,570208,516260,477212,516529,451604,504775,110095,528653,245266,560339,434199,326385,291478
Aachen,646659,420472,638896,262357,357786,86233,608853,381264,491380,563395,664572,263491,521917,575831,445329,241104,85576,159720,126260,649636,478172,113242,148660,120835,259595,94659,214569,352746,290623,574400,237315,159047,63288,419917,581883,0,501064,484708,96576,550738,143126,308076,142374,188456,130128,292026,369709,103528,267225,102436,323680,154001,77243,271550,249212,578235,571418,373261,471686,441583,269315,504835,366759,374535,358548,150982,169290,163357,448642,444551,156284,95175,487345,111526,466846,111257,170517,397685,432454
Magdeburg,522380,510576,155878,425526,149424,442537,125835,257367,281245,126930,332323,603548,86347,376641,169895,454490,424721,355433,394351,230872,377544,411819,380056,390165,252037,463534,335006,556750,503085,524977,450145,380245,462107,98544,217936,501690,0,688712,437686,340603,393583,243260,367759,326555,403398,505023,300119,418129,281768,406314,507878,371400,425755,454573,291007,435794,447139,364195,391571,90251,431707,554879,470549,578539,198590,387179,598950,371930,553329,311772,480346,422272,185099,398430,380347,416009,444367,143291,109985
Freiburg+im+Breisgau,423146,200464,804361,269991,612910,432294,774318,704685,755971,649423,929162,207339,642322,851367,520575,272949,474050,482824,491085,681143,382531,492836,501012,474381,577203,418312,537990,135573,199482,354391,278708,512593,476616,598676,606133,485179,687250,0,498355,815329,496672,456311,467900,511877,483674,201420,693130,457445,590646,455982,184221,507917,477691,239328,530241,468603,450411,319312,387163,627461,276103,284827,221964,154527,494574,504528,302747,517274,228634,786498,341695,436827,562591,465443,400191,509158,394555,581758,582147
